csv_index,dish_name,diet_type,meal_type,goal,dish_calories,dish_protein_g,dish_fat_g,dish_carbs_g,food_item,role_in_dish,quantity, In_Grams , Price_Per_Gram , Price_Per_Portion 
1155,Turkey Meatball Pasta,High-Protein,Dinner,Muscle gain,560,44,14,58,olive oil,cooking,1 tbsp, 14 , 168 ," 3,566 "
2024,Turkey Meatball Pasta,High-Protein,Dinner,Muscle gain,560,44,14,58,basil dried,herb,1 tsp, 1 , 4 ," 3,566 "
620,Turkey Meatball Pasta,High-Protein,Dinner,Muscle gain,560,44,14,58,egg white raw,binder,1 in meatballs, 33 , 83 ," 3,566 "
1988,Turkey Meatball Pasta,High-Protein,Dinner,Muscle gain,560,44,14,58,paprika,seasoning,0.5 tsp, 1 , 6 ," 3,566 "
498,Tuna & Cottage Cheese Bowl,High-Protein,Lunch,Muscle gain,360,46,8,20,tuna canned,base,2 can, 280 ," 1,960 "," 3,362 "
879,Tuna & Cottage Cheese Bowl,High-Protein,Lunch,Muscle gain,360,46,8,20,cottage cheese creamed,base,0.5 cup, 113 ," 1,017 "," 3,362 "
1633,Tuna & Cottage Cheese Bowl,High-Protein,Lunch,Muscle gain,360,46,8,20,cucumber,add-in,diced, 200 , 360 ," 3,362 "
1377,Tuna & Cottage Cheese Bowl,High-Protein,Lunch,Muscle gain,360,46,8,20,red wine vinegar,dressing,1 tsp, 5 , 8 ," 3,362 "
2020,Tuna & Cottage Cheese Bowl,High-Protein,Lunch,Muscle gain,360,46,8,20,mustard,flavor,1 tsp, 5 , 13 ," 3,362 "
2015,Tuna & Cottage Cheese Bowl,High-Protein,Lunch,Muscle gain,360,46,8,20,garlic,flavor,0.5 cloves, 2 , 3 ," 3,362 "
1988,Tuna & Cottage Cheese Bowl,High-Protein,Lunch,Muscle gain,360,46,8,20,paprika,garnish,pinch, 0 , 2 ," 3,362 "
2300,Pork & Sweet Potato Plate,High-Protein,Dinner,Muscle gain,500,40,12,46,pork sirloin chops cooked,base,200g, 200 ," 3,600 "," 5,263 "
87,Pork & Sweet Potato Plate,High-Protein,Dinner,Muscle gain,500,40,12,46,sweet sour pork,side,1 large, 164 ," 1,476 "," 5,263 "
1519,Pork & Sweet Potato Plate,High-Protein,Dinner,Muscle gain,500,40,12,46,broccoli raab raw,side,1 cup, 40 , 100 ," 5,263 "
2015,Pork & Sweet Potato Plate,High-Protein,Dinner,Muscle gain,500,40,12,46,garlic,flavor,3 cloves, 12 , 18 ," 5,263 "
1155,Pork & Sweet Potato Plate,High-Protein,Dinner,Muscle gain,500,40,12,46,olive oil,cooking,1 tsp, 5 , 54 ," 5,263 "
2022,Pork & Sweet Potato Plate,High-Protein,Dinner,Muscle gain,500,40,12,46,thyme dried,rub,0.5 tsp, 1 , 2 ," 5,263 "
2020,Pork & Sweet Potato Plate,High-Protein,Dinner,Muscle gain,500,40,12,46,mustard,glaze,1 tsp, 5 , 13 ," 5,263 "
493,Sardine & Egg Power Salad,High-Protein,Lunch,Muscle gain,400,40,18,16,sardine canned in oil,base,1 tin, 100 , 500 ," 1,802 "
620,Sardine & Egg Power Salad,High-Protein,Lunch,Muscle gain,400,40,18,16,egg white raw,add-in,3 boiled, 99 , 248 ," 1,802 "
1633,Sardine & Egg Power Salad,High-Protein,Lunch,Muscle gain,400,40,18,16,cucumber,base,1 diced, 200 , 360 ," 1,802 "
169,Sardine & Egg Power Salad,High-Protein,Lunch,Muscle gain,400,40,18,16,pasta with meatballs in tomato sauce,base,2 chopped, 246 , 492 ," 1,802 "
1155,Sardine & Egg Power Salad,High-Protein,Lunch,Muscle gain,400,40,18,16,olive oil,dressing,1 tbsp, 14 , 168 ," 1,802 "
1377,Sardine & Egg Power Salad,High-Protein,Lunch,Muscle gain,400,40,18,16,red wine vinegar,dressing,1 tbsp, 15 , 23 ," 1,802 "
2015,Sardine & Egg Power Salad,High-Protein,Lunch,Muscle gain,400,40,18,16,garlic,dressing,1 cloves, 4 , 6 ," 1,802 "
2020,Sardine & Egg Power Salad,High-Protein,Lunch,Muscle gain,400,40,18,16,mustard,dressing,0.5 tsp, 3 , 6 ," 1,802 "
889,Greek Yogurt Protein Pancakes,High-Protein,Breakfast,Muscle gain,380,28,8,46,yogurt,base,0.5 cup, 123 , 270 , 934 
817,Greek Yogurt Protein Pancakes,High-Protein,Breakfast,Muscle gain,380,28,8,46,oats,base,0.5 cup, 45 , 90 , 934 
620,Greek Yogurt Protein Pancakes,High-Protein,Breakfast,Muscle gain,380,28,8,46,egg white raw,base,4 egg whites, 132 , 330 , 934 
1835,Greek Yogurt Protein Pancakes,High-Protein,Breakfast,Muscle gain,380,28,8,46,banana,mix-in,0.5 mashed, 59 , 118 , 934 
40,Greek Yogurt Protein Pancakes,High-Protein,Breakfast,Muscle gain,380,28,8,46,honey,topping,1 tsp, 7 , 49 , 934 
101,Greek Yogurt Protein Pancakes,High-Protein,Breakfast,Muscle gain,380,28,8,46,nachos with cinnamon sugar,flavor,0.5 tsp, 1 , 2 , 934 
630,Greek Yogurt Protein Pancakes,High-Protein,Breakfast,Muscle gain,380,28,8,46,strawberry topping,topping,0.25 cup, 38 , 76 , 934 
358,Cod & Lentil Protein Plate,High-Protein,Dinner,Muscle gain,420,46,6,38,cod raw,base,200g, 200 ," 1,600 "," 2,262 "
2063,Cod & Lentil Protein Plate,High-Protein,Dinner,Muscle gain,420,46,6,38,lentils raw,side,0.5 cup, 100 , 200 ," 2,262 "
94,Cod & Lentil Protein Plate,High-Protein,Dinner,Muscle gain,420,46,6,38,spinach souffle,side,2 cup, 170 , 340 ," 2,262 "
2015,Cod & Lentil Protein Plate,High-Protein,Dinner,Muscle gain,420,46,6,38,garlic,flavor,3 cloves, 12 , 18 ," 2,262 "
1155,Cod & Lentil Protein Plate,High-Protein,Dinner,Muscle gain,420,46,6,38,olive oil,drizzle,1 tsp, 5 , 54 ," 2,262 "
1019,Cod & Lentil Protein Plate,High-Protein,Dinner,Muscle gain,420,46,6,38,cumin seeds,spice,0.5 tsp, 1 , 6 ," 2,262 "
83,Cod & Lentil Protein Plate,High-Protein,Dinner,Muscle gain,420,46,6,38,lemon chicken,finish,juice of 1, 19 , 38 ," 2,262 "
1988,Cod & Lentil Protein Plate,High-Protein,Dinner,Muscle gain,420,46,6,38,paprika,spice,0.5 tsp, 1 , 6 ," 2,262 "
2060,Lentil Dal & Brown Rice,Plant-Based,Dinner,Vegan / Ethical,440,22,6,74,pink lentils raw,base,0.5 cup, 100 , 200 ," 1,208 "
860,Lentil Dal & Brown Rice,Plant-Based,Dinner,Vegan / Ethical,440,22,6,74,white rice raw,base,0.75 cup, 139 , 250 ," 1,208 "
169,Lentil Dal & Brown Rice,Plant-Based,Dinner,Vegan / Ethical,440,22,6,74,pasta with meatballs in tomato sauce,sauce,2 chopped, 246 , 492 ," 1,208 "
2015,Lentil Dal & Brown Rice,Plant-Based,Dinner,Vegan / Ethical,440,22,6,74,garlic,flavor,3 cloves, 12 , 18 ," 1,208 "
1019,Lentil Dal & Brown Rice,Plant-Based,Dinner,Vegan / Ethical,440,22,6,74,cumin seeds,spice,1 tsp, 2 , 12 ," 1,208 "
1976,Lentil Dal & Brown Rice,Plant-Based,Dinner,Vegan / Ethical,440,22,6,74,coriander seeds,spice,1 tsp, 2 , 12 ," 1,208 "
1155,Lentil Dal & Brown Rice,Plant-Based,Dinner,Vegan / Ethical,440,22,6,74,olive oil,cooking,1 tsp, 5 , 54 ," 1,208 "
94,Lentil Dal & Brown Rice,Plant-Based,Dinner,Vegan / Ethical,440,22,6,74,spinach souffle,stir-in,1 cup, 85 , 170 ," 1,208 "
777,Buddha Bowl,Plant-Based,Lunch,Vegan / Ethical,480,18,16,66,quinoa cooked,base,0.75 cup, 139 , 416 ," 2,037 "
1702,Buddha Bowl,Plant-Based,Lunch,Vegan / Ethical,480,18,16,66,avocado,topping,0.5 slices, 18 , 70 ," 2,037 "
1633,Buddha Bowl,Plant-Based,Lunch,Vegan / Ethical,480,18,16,66,cucumber,topping,diced, 200 , 360 ," 2,037 "
1013,Buddha Bowl,Plant-Based,Lunch,Vegan / Ethical,480,18,16,66,carrot juice,topping,shredded, 61 , 79 ," 2,037 "
663,Buddha Bowl,Plant-Based,Lunch,Vegan / Ethical,480,18,16,66,chickpea flour,add-in,as roasted chickpeas, 164 , 820 ," 2,037 "
48,Buddha Bowl,Plant-Based,Lunch,Vegan / Ethical,480,18,16,66,tahini,dressing,2 tbsp, 30 , 240 ," 2,037 "
83,Buddha Bowl,Plant-Based,Lunch,Vegan / Ethical,480,18,16,66,lemon chicken,dressing,juice of 1, 19 , 38 ," 2,037 "
2015,Buddha Bowl,Plant-Based,Lunch,Vegan / Ethical,480,18,16,66,garlic,dressing,0.5 cloves, 2 , 3 ," 2,037 "
1489,Buddha Bowl,Plant-Based,Lunch,Vegan / Ethical,480,18,16,66,soy sauce,seasoning,1 tsp, 5 , 10 ," 2,037 "
193,Black Bean Stuffed Peppers,Plant-Based,Dinner,Vegan / Ethical,380,16,8,60,black bean soup,base,1 cup, 172 , 344 ," 1,285 "
773,Black Bean Stuffed Peppers,Plant-Based,Dinner,Vegan / Ethical,380,16,8,60,bulgur dry,filling,0.5 cup, 70 , 210 ," 1,285 "
169,Black Bean Stuffed Peppers,Plant-Based,Dinner,Vegan / Ethical,380,16,8,60,pasta with meatballs in tomato sauce,filling,2 chopped, 246 , 492 ," 1,285 "
2015,Black Bean Stuffed Peppers,Plant-Based,Dinner,Vegan / Ethical,380,16,8,60,garlic,flavor,2 cloves, 8 , 12 ," 1,285 "
1019,Black Bean Stuffed Peppers,Plant-Based,Dinner,Vegan / Ethical,380,16,8,60,cumin seeds,spice,1 tsp, 2 , 12 ," 1,285 "
1988,Black Bean Stuffed Peppers,Plant-Based,Dinner,Vegan / Ethical,380,16,8,60,paprika,spice,1 tsp, 2 , 12 ," 1,285 "
1155,Black Bean Stuffed Peppers,Plant-Based,Dinner,Vegan / Ethical,380,16,8,60,olive oil,cooking,1 tbsp, 14 , 168 ," 1,285 "
1702,Black Bean Stuffed Peppers,Plant-Based,Dinner,Vegan / Ethical,380,16,8,60,avocado,topping,0.25 slices, 9 , 35 ," 1,285 "
1476,Tofu Veggie Curry,Plant-Based,Dinner,Vegan / Ethical,380,22,14,44,azumaya tofu vitasoy,base,200g, 200 , 700 ," 1,754 "
94,Tofu Veggie Curry,Plant-Based,Dinner,Vegan / Ethical,380,22,14,44,spinach souffle,veggie,2 cup, 170 , 340 ," 1,754 "
169,Tofu Veggie Curry,Plant-Based,Dinner,Vegan / Ethical,380,22,14,44,pasta with meatballs in tomato sauce,sauce,2 chopped, 246 , 492 ," 1,754 "
2015,Tofu Veggie Curry,Plant-Based,Dinner,Vegan / Ethical,380,22,14,44,garlic,flavor,3 cloves, 12 , 18 ," 1,754 "
1019,Tofu Veggie Curry,Plant-Based,Dinner,Vegan / Ethical,380,22,14,44,cumin seeds,spice,1 tsp, 2 , 12 ," 1,754 "
1976,Tofu Veggie Curry,Plant-Based,Dinner,Vegan / Ethical,380,22,14,44,coriander seeds,spice,1 tsp, 2 , 12 ," 1,754 "
1988,Tofu Veggie Curry,Plant-Based,Dinner,Vegan / Ethical,380,22,14,44,paprika,spice,1 tsp, 2 , 12 ," 1,754 "
1155,Tofu Veggie Curry,Plant-Based,Dinner,Vegan / Ethical,380,22,14,44,olive oil,cooking,1 tbsp, 14 , 168 ," 1,754 "
889,Tofu Veggie Curry,Plant-Based,Dinner,Vegan / Ethical,380,22,14,44,yogurt,note,omit for vegan, -   , -   ," 1,754 "
1476,Mango Tofu Stir-Fry,Plant-Based,Dinner,Vegan / Ethical,360,20,12,46,azumaya tofu vitasoy,base,200g, 200 , 700 ," 1,424 "
1905,Mango Tofu Stir-Fry,Plant-Based,Dinner,Vegan / Ethical,360,20,12,46,mango,add-in,0.5 diced, 100 , 350 ," 1,424 "
1519,Mango Tofu Stir-Fry,Plant-Based,Dinner,Vegan / Ethical,360,20,12,46,broccoli raab raw,veggie,1 cup, 40 , 100 ," 1,424 "
2015,Mango Tofu Stir-Fry,Plant-Based,Dinner,Vegan / Ethical,360,20,12,46,garlic,sauce,3 cloves, 12 , 18 ," 1,424 "
1489,Mango Tofu Stir-Fry,Plant-Based,Dinner,Vegan / Ethical,360,20,12,46,soy sauce,sauce,2 tbsp, 32 , 64 ," 1,424 "
1155,Mango Tofu Stir-Fry,Plant-Based,Dinner,Vegan / Ethical,360,20,12,46,olive oil,cooking,1 tbsp, 14 , 168 ," 1,424 "
649,Mango Tofu Stir-Fry,Plant-Based,Dinner,Vegan / Ethical,360,20,12,46,sesame flour,garnish,1 tsp, 3 , 5 ," 1,424 "
83,Mango Tofu Stir-Fry,Plant-Based,Dinner,Vegan / Ethical,360,20,12,46,lemon chicken,finish,squeeze, 10 , 19 ," 1,424 "
663,Chickpea Avocado Toast,Plant-Based,Breakfast,Vegan / Ethical,380,14,16,46,chickpea flour,spread,as smashed chickpeas, 164 , 820 ," 2,049 "
1702,Chickpea Avocado Toast,Plant-Based,Breakfast,Vegan / Ethical,380,14,16,46,avocado,base,1 mashed, 200 , 800 ," 2,049 "
650,Chickpea Avocado Toast,Plant-Based,Breakfast,Vegan / Ethical,380,14,16,46,whole grain wheat flour,base,2 slices, 70 , 105 ," 2,049 "
83,Chickpea Avocado Toast,Plant-Based,Breakfast,Vegan / Ethical,380,14,16,46,lemon chicken,flavor,squeeze, 10 , 19 ," 2,049 "
2015,Chickpea Avocado Toast,Plant-Based,Breakfast,Vegan / Ethical,380,14,16,46,garlic,flavor,0.5 cloves, 2 , 3 ," 2,049 "
1988,Chickpea Avocado Toast,Plant-Based,Breakfast,Vegan / Ethical,380,14,16,46,paprika,garnish,pinch, 0 , 2 ," 2,049 "
1155,Chickpea Avocado Toast,Plant-Based,Breakfast,Vegan / Ethical,380,14,16,46,olive oil,drizzle,1 tsp, 5 , 54 ," 2,049 "
169,Chickpea Avocado Toast,Plant-Based,Breakfast,Vegan / Ethical,380,14,16,46,pasta with meatballs in tomato sauce,topping,sliced, 123 , 246 ," 2,049 "
2063,Walnut & Lentil Salad,Plant-Based,Lunch,Vegan / Ethical,400,20,16,46,lentils raw,base,0.5 cup, 100 , 200 ," 1,370 "
1076,Walnut & Lentil Salad,Plant-Based,Lunch,Vegan / Ethical,400,20,16,46,walnut,topping,30g, 30 , 360 ," 1,370 "
1013,Walnut & Lentil Salad,Plant-Based,Lunch,Vegan / Ethical,400,20,16,46,carrot juice,add-in,shredded, 61 , 79 ," 1,370 "
1633,Walnut & Lentil Salad,Plant-Based,Lunch,Vegan / Ethical,400,20,16,46,cucumber,add-in,diced, 200 , 360 ," 1,370 "
1377,Walnut & Lentil Salad,Plant-Based,Lunch,Vegan / Ethical,400,20,16,46,red wine vinegar,dressing,1 tbsp, 15 , 23 ," 1,370 "
1155,Walnut & Lentil Salad,Plant-Based,Lunch,Vegan / Ethical,400,20,16,46,olive oil,dressing,2 tbsp, 28 , 336 ," 1,370 "
2015,Walnut & Lentil Salad,Plant-Based,Lunch,Vegan / Ethical,400,20,16,46,garlic,dressing,1 cloves, 4 , 6 ," 1,370 "
2020,Walnut & Lentil Salad,Plant-Based,Lunch,Vegan / Ethical,400,20,16,46,mustard,dressing,0.5 tsp, 3 , 6 ," 1,370 "
1066,Chia Pudding with Mango,Plant-Based,Breakfast,Vegan / Ethical,310,10,12,42,chia seeds dried,base,3 tbsp, 36 , 144 , 614 
1905,Chia Pudding with Mango,Plant-Based,Breakfast,Vegan / Ethical,310,10,12,42,mango,topping,0.5 cup, 83 , 289 , 614 
1835,Chia Pudding with Mango,Plant-Based,Breakfast,Vegan / Ethical,310,10,12,42,banana,mix-in,0.5 mashed, 59 , 118 , 614 
40,Chia Pudding with Mango,Plant-Based,Breakfast,Vegan / Ethical,310,10,12,42,honey,drizzle,1 tsp, 7 , 49 , 614 
1037,Chia Pudding with Mango,Plant-Based,Breakfast,Vegan / Ethical,310,10,12,42,flaxseeds,boost,1 tsp, 4 , 14 , 614 
101,Chia Pudding with Mango,Plant-Based,Breakfast,Vegan / Ethical,310,10,12,42,nachos with cinnamon sugar,flavor,pinch, 0 , 0 , 614 
690,Chia Pudding with Mango,Plant-Based,Breakfast,Vegan / Ethical,310,10,12,42,white cake with coconut frosting,note,use coconut milk as base, -   , -   , 614 
194,Split Pea Soup,Plant-Based,Lunch,Vegan / Ethical,300,18,4,50,split pea soup with ham bacon,base,0.5 cup, 100 , 200 , 803 
1013,Split Pea Soup,Plant-Based,Lunch,Vegan / Ethical,300,18,4,50,carrot juice,base,2 chopped, 122 , 159 , 803 
231,Split Pea Soup,Plant-Based,Lunch,Vegan / Ethical,300,18,4,50,cream of celery soup,base,2 stalks, 80 , 320 , 803 
2015,Split Pea Soup,Plant-Based,Lunch,Vegan / Ethical,300,18,4,50,garlic,flavor,3 cloves, 12 , 18 , 803 
1019,Split Pea Soup,Plant-Based,Lunch,Vegan / Ethical,300,18,4,50,cumin seeds,spice,1 tsp, 2 , 12 , 803 
1155,Split Pea Soup,Plant-Based,Lunch,Vegan / Ethical,300,18,4,50,olive oil,cooking,1 tsp, 5 , 54 , 803 
83,Split Pea Soup,Plant-Based,Lunch,Vegan / Ethical,300,18,4,50,lemon chicken,finish,juice of 1, 19 , 38 , 803 
2022,Split Pea Soup,Plant-Based,Lunch,Vegan / Ethical,300,18,4,50,thyme dried,herb,0.5 tsp, 1 , 2 , 803 
1166,Tahini Noodle Bowl,Plant-Based,Lunch,Vegan / Ethical,420,14,16,58,japanese soba noodles dry,base,100g, 100 , 200 ," 1,118 "
48,Tahini Noodle Bowl,Plant-Based,Lunch,Vegan / Ethical,420,14,16,58,tahini,sauce,3 tbsp, 45 , 360 ," 1,118 "
1489,Tahini Noodle Bowl,Plant-Based,Lunch,Vegan / Ethical,420,14,16,58,soy sauce,sauce,2 tbsp, 32 , 64 ," 1,118 "
2015,Tahini Noodle Bowl,Plant-Based,Lunch,Vegan / Ethical,420,14,16,58,garlic,sauce,2 cloves, 8 , 12 ," 1,118 "
83,Tahini Noodle Bowl,Plant-Based,Lunch,Vegan / Ethical,420,14,16,58,lemon chicken,sauce,juice of 1, 19 , 38 ," 1,118 "
1633,Tahini Noodle Bowl,Plant-Based,Lunch,Vegan / Ethical,420,14,16,58,cucumber,topping,sliced, 200 , 360 ," 1,118 "
1013,Tahini Noodle Bowl,Plant-Based,Lunch,Vegan / Ethical,420,14,16,58,carrot juice,topping,shredded, 61 , 79 ," 1,118 "
649,Tahini Noodle Bowl,Plant-Based,Lunch,Vegan / Ethical,420,14,16,58,sesame flour,garnish,1 tsp, 3 , 5 ," 1,118 "
620,Avocado Egg Bowl,Low-Carb,Breakfast,Blood sugar control,320,18,24,8,egg white raw,base,3 whole, 99 , 248 ," 1,459 "
1702,Avocado Egg Bowl,Low-Carb,Breakfast,Blood sugar control,320,18,24,8,avocado,base,1 halved, 200 , 800 ," 1,459 "
94,Avocado Egg Bowl,Low-Carb,Breakfast,Blood sugar control,320,18,24,8,spinach souffle,side,1 cup, 85 , 170 ," 1,459 "
1155,Avocado Egg Bowl,Low-Carb,Breakfast,Blood sugar control,320,18,24,8,olive oil,cooking,1 tsp, 5 , 54 ," 1,459 "
2015,Avocado Egg Bowl,Low-Carb,Breakfast,Blood sugar control,320,18,24,8,garlic,flavor,1 cloves, 4 , 6 ," 1,459 "
1988,Avocado Egg Bowl,Low-Carb,Breakfast,Blood sugar control,320,18,24,8,paprika,garnish,pinch, 0 , 2 ," 1,459 "
36,Avocado Egg Bowl,Low-Carb,Breakfast,Blood sugar control,320,18,24,8,feta cheese,topping,20g, 20 , 180 ," 1,459 "
2160,Zucchini Beef Noodles,Low-Carb,Dinner,Blood sugar control,420,40,22,12,beef shoulder steak raw,base,180g, 180 , 144 ," 1,402 "
1623,Zucchini Beef Noodles,Low-Carb,Dinner,Blood sugar control,420,40,22,12,baby zucchini,noodles,2 spiralized, 200 , 360 ," 1,402 "
169,Zucchini Beef Noodles,Low-Carb,Dinner,Blood sugar control,420,40,22,12,pasta with meatballs in tomato sauce,sauce,2 chopped, 246 , 492 ," 1,402 "
2015,Zucchini Beef Noodles,Low-Carb,Dinner,Blood sugar control,420,40,22,12,garlic,flavor,3 cloves, 12 , 18 ," 1,402 "
1155,Zucchini Beef Noodles,Low-Carb,Dinner,Blood sugar control,420,40,22,12,olive oil,cooking,1 tbsp, 14 , 168 ," 1,402 "
2024,Zucchini Beef Noodles,Low-Carb,Dinner,Blood sugar control,420,40,22,12,basil dried,herb,1 tsp, 1 , 4 ," 1,402 "
1988,Zucchini Beef Noodles,Low-Carb,Dinner,Blood sugar control,420,40,22,12,paprika,seasoning,0.5 tsp, 1 , 6 ," 1,402 "
8,Zucchini Beef Noodles,Low-Carb,Dinner,Blood sugar control,420,40,22,12,parmesan cheese,finish,15g, 15 , 210 ," 1,402 "
362,Salmon & Avocado Plate,Low-Carb,Lunch,Blood sugar control,480,38,32,6,salmon cooked,base,180g, 180 ," 2,880 "," 3,524 "
1702,Salmon & Avocado Plate,Low-Carb,Lunch,Blood sugar control,480,38,32,6,avocado,side,0.5 slices, 18 , 70 ," 3,524 "
1633,Salmon & Avocado Plate,Low-Carb,Lunch,Blood sugar control,480,38,32,6,cucumber,side,sliced, 200 , 360 ," 3,524 "
83,Salmon & Avocado Plate,Low-Carb,Lunch,Blood sugar control,480,38,32,6,lemon chicken,dressing,juice of 1, 19 , 38 ," 3,524 "
1155,Salmon & Avocado Plate,Low-Carb,Lunch,Blood sugar control,480,38,32,6,olive oil,drizzle,1 tbsp, 14 , 168 ," 3,524 "
2015,Salmon & Avocado Plate,Low-Carb,Lunch,Blood sugar control,480,38,32,6,garlic,flavor,1 cloves, 4 , 6 ," 3,524 "
2022,Salmon & Avocado Plate,Low-Carb,Lunch,Blood sugar control,480,38,32,6,thyme dried,herb,pinch, 0 , 1 ," 3,524 "
620,Egg White & Veggie Frittata,Low-Carb,Breakfast,Blood sugar control,240,28,10,8,egg white raw,base,8 egg whites, 264 , 660 ," 1,861 "
94,Egg White & Veggie Frittata,Low-Carb,Breakfast,Blood sugar control,240,28,10,8,spinach souffle,filling,1 cup, 85 , 170 ," 1,861 "
191,Egg White & Veggie Frittata,Low-Carb,Breakfast,Blood sugar control,240,28,10,8,chicken mushroom soup,filling,1 cup, 240 , 720 ," 1,861 "
2015,Egg White & Veggie Frittata,Low-Carb,Breakfast,Blood sugar control,240,28,10,8,garlic,flavor,2 cloves, 8 , 12 ," 1,861 "
36,Egg White & Veggie Frittata,Low-Carb,Breakfast,Blood sugar control,240,28,10,8,feta cheese,topping,30g, 30 , 270 ," 1,861 "
1155,Egg White & Veggie Frittata,Low-Carb,Breakfast,Blood sugar control,240,28,10,8,olive oil,cooking,0.5 tsp, 2 , 26 ," 1,861 "
1988,Egg White & Veggie Frittata,Low-Carb,Breakfast,Blood sugar control,240,28,10,8,paprika,seasoning,pinch, 0 , 2 ," 1,861 "
2022,Egg White & Veggie Frittata,Low-Carb,Breakfast,Blood sugar control,240,28,10,8,thyme dried,herb,pinch, 0 , 1 ," 1,861 "
2380,Chicken Lettuce Wraps,Low-Carb,Lunch,Blood sugar control,300,36,10,10,chicken breast cooked,base,180g, 180 ," 1,980 "," 2,982 "
1633,Chicken Lettuce Wraps,Low-Carb,Lunch,Blood sugar control,300,36,10,10,cucumber,filling,diced, 200 , 360 ," 2,982 "
1702,Chicken Lettuce Wraps,Low-Carb,Lunch,Blood sugar control,300,36,10,10,avocado,filling,0.5 mashed, 100 , 400 ," 2,982 "
2015,Chicken Lettuce Wraps,Low-Carb,Lunch,Blood sugar control,300,36,10,10,garlic,sauce,1 cloves, 4 , 6 ," 2,982 "
1489,Chicken Lettuce Wraps,Low-Carb,Lunch,Blood sugar control,300,36,10,10,soy sauce,sauce,1 tbsp, 16 , 32 ," 2,982 "
83,Chicken Lettuce Wraps,Low-Carb,Lunch,Blood sugar control,300,36,10,10,lemon chicken,flavor,squeeze, 10 , 19 ," 2,982 "
649,Chicken Lettuce Wraps,Low-Carb,Lunch,Blood sugar control,300,36,10,10,sesame flour,garnish,1 tsp, 3 , 5 ," 2,982 "
1550,Chicken Lettuce Wraps,Low-Carb,Lunch,Blood sugar control,300,36,10,10,cabbage raw,wrap,large leaves as wrap, 60 , 180 ," 2,982 "
508,Shrimp & Avocado Salad,Low-Carb,Lunch,Blood sugar control,340,30,20,10,shrimp cooked,base,200g, 200 ," 3,000 "," 5,040 "
1702,Shrimp & Avocado Salad,Low-Carb,Lunch,Blood sugar control,340,30,20,10,avocado,base,1 diced, 200 , 800 ," 5,040 "
1633,Shrimp & Avocado Salad,Low-Carb,Lunch,Blood sugar control,340,30,20,10,cucumber,base,1 diced, 200 , 360 ," 5,040 "
169,Shrimp & Avocado Salad,Low-Carb,Lunch,Blood sugar control,340,30,20,10,pasta with meatballs in tomato sauce,base,2 chopped, 246 , 492 ," 5,040 "
1155,Shrimp & Avocado Salad,Low-Carb,Lunch,Blood sugar control,340,30,20,10,olive oil,dressing,2 tbsp, 28 , 336 ," 5,040 "
83,Shrimp & Avocado Salad,Low-Carb,Lunch,Blood sugar control,340,30,20,10,lemon chicken,dressing,juice of 1, 19 , 38 ," 5,040 "
2015,Shrimp & Avocado Salad,Low-Carb,Lunch,Blood sugar control,340,30,20,10,garlic,dressing,1 cloves, 4 , 6 ," 5,040 "
1377,Shrimp & Avocado Salad,Low-Carb,Lunch,Blood sugar control,340,30,20,10,red wine vinegar,dressing,1 tsp, 5 , 8 ," 5,040 "
366,Trout & Steamed Greens,Low-Carb,Dinner,Blood sugar control,360,36,18,8,trout cooked,base,200g, 200 ," 3,200 "," 3,847 "
94,Trout & Steamed Greens,Low-Carb,Dinner,Blood sugar control,360,36,18,8,spinach souffle,side,2 cup, 170 , 340 ," 3,847 "
1519,Trout & Steamed Greens,Low-Carb,Dinner,Blood sugar control,360,36,18,8,broccoli raab raw,side,1 cup, 40 , 100 ," 3,847 "
2015,Trout & Steamed Greens,Low-Carb,Dinner,Blood sugar control,360,36,18,8,garlic,flavor,3 cloves, 12 , 18 ," 3,847 "
1155,Trout & Steamed Greens,Low-Carb,Dinner,Blood sugar control,360,36,18,8,olive oil,drizzle,1 tbsp, 14 , 168 ," 3,847 "
83,Trout & Steamed Greens,Low-Carb,Dinner,Blood sugar control,360,36,18,8,lemon chicken,seasoning,juice, 10 , 19 ," 3,847 "
2022,Trout & Steamed Greens,Low-Carb,Dinner,Blood sugar control,360,36,18,8,thyme dried,herb,0.5 tsp, 1 , 2 ," 3,847 "
2360,Turkey & Cabbage Stir-Fry,Low-Carb,Dinner,Blood sugar control,380,42,14,14,turkey breast raw,base,200g, 200 ," 2,400 "," 3,210 "
1550,Turkey & Cabbage Stir-Fry,Low-Carb,Dinner,Blood sugar control,380,42,14,14,cabbage raw,base,2 cup, 178 , 534 ," 3,210 "
2015,Turkey & Cabbage Stir-Fry,Low-Carb,Dinner,Blood sugar control,380,42,14,14,garlic,flavor,3 cloves, 12 , 18 ," 3,210 "
1489,Turkey & Cabbage Stir-Fry,Low-Carb,Dinner,Blood sugar control,380,42,14,14,soy sauce,sauce,2 tbsp, 32 , 64 ," 3,210 "
1155,Turkey & Cabbage Stir-Fry,Low-Carb,Dinner,Blood sugar control,380,42,14,14,olive oil,cooking,1 tbsp, 14 , 168 ," 3,210 "
721,Turkey & Cabbage Stir-Fry,Low-Carb,Dinner,Blood sugar control,380,42,14,14,gingerbread,flavor,0.5 tsp, 1 , 2 ," 3,210 "
649,Turkey & Cabbage Stir-Fry,Low-Carb,Dinner,Blood sugar control,380,42,14,14,sesame flour,garnish,1 tsp, 3 , 5 ," 3,210 "
