Unnamed: 0,food,price_per_100g_amd
1098,bran flakes,400
1099,nut cereal,400
1100,corn flakes,400
1101,corn grits dry,160
1102,margarine with yoghurt,220
1103,sunflower seed butter,900
1104,hazelnut oil,500
1105,menhaden fish oil,1800
1106,cod liver fish oil,1800
1107,sardine oil,500
1108,cupu assu oil,500
1109,lard,300
1110,sesame butter,800
1111,margarine spread,350
1112,lard vegetable oil,500
1113,shortening,400
1114,vegetable oil spread,500
1115,cottonseed oil,500
1116,vegetable oil spread fat free,500
1117,soy margarine,350
1118,margarine with salt,350
1119,margarine,350
1120,salmon fish oil,1800
1121,nutmeg butter oil,500
1122,almond butter,1400
1123,sour cream shoprite,350
1124,ucuhuba butter oil,500
1125,chicken fat,300
1126,herring fish oil,1800
1127,bacon grease,300
1128,turkey fat,300
1129,beef tallow,300
1130,goose fat,300
1131,duck fat,300
1132,mutton tallow,300
1133,grapeseed oil,500
1134,sheanut oil,500
1135,almond oil,500
1136,sunflower oil,500
1137,cashew butter,1600
1138,canola oil,500
1139,babassu oil,500
1140,teaseed oil,500
1141,avocado oil,1400
1142,vegetable palm kernel oil,500
1143,coconut oil,900
1144,safflower oil,500
1145,vegetable oil,500
1146,apricot kernel oil,500
1147,peanut oil,500
1148,poppyseed oil,500
1149,flaxseed oil,500
1150,tomatoseed oil,500
1151,wheat germ oil,250
1152,sesame oil,500
1153,corn granola oil,450
1154,cocoa butter oil,500
1155,olive oil,1200
1156,palm kernel oil,500
1157,mustard oil,500
1158,rice bran oil,200
1159,vegetable macaroni dry,200
1160,chow mein noodles,200
1161,chinese noodles,200
1162,vegetable macaroni cooked,120
1163,corn pasta dry,200
1164,egg noodles dry,200
1165,whole wheat spaghetti dry,200
1166,japanese soba noodles dry,200
1167,rice noodles dry,200
1168,spinach spaghetti dry,200
1169,egg noodles cooked,120
1170,japanese somen noodles cooked,120
1171,whole wheat macaroni dry,200
1172,pasta marinara and ground beef sauce,200
1173,macaroni raw,200
1174,spaghetti dry,200
1175,fusilli cucina,200
1176,japanese somen noodles dry,200
1177,pasta cooked,120
1178,macaroni cooked,120
1179,spinach egg noodles dry,200
1180,japanese soba noodles cooked,120
1181,rice noodles cooked,120
1182,whole wheat macaroni cooked,120
1183,spaghetti cooked,120
1184,whole wheat spaghetti cooked,120
1185,waffle,250
1186,baked taco shell,400
1187,puff pastry,500
1188,blueberry muffin,280
1189,bread crumbs,180
1190,warm cinnamon roll mcdonalds,400
1191,corn muffin,280
1192,tortilla,220
1193,croutons seasoned,300
1194,buttermilk waffle,700
1195,flour tortilla,220
1196,glazed donut,300
1197,corn tortilla,220
1198,muffin,280
1199,croutons,300
1200,donut with jelly filling,300
1201,sweet cinnamon rolls,500
1202,oat bran muffin,280
1203,french cruller donut,300
1204,pancakes,250
1205,chocolate donut,300
1206,sweet cheese rolls,1000
1207,eclair,300
1208,donut with cream filling,400
1209,fruit toaster pastry,500
1210,donut,300
1211,pancakes whole wheat,250
1212,keikitos,300
1213,zwieback,300
1214,chocolate coated donut,300
1215,waffle toasted,250
1216,cinnamon toaster pastry,500
1217,wheat bran bread,180
1218,white bread,150
1219,oat bran bread,180
1220,whole wheat bread natures own,150
1221,high protein bread dr zaks,350
1222,wheat bread,150
1223,egg bread toasted,180
1224,butter toastbrot ja,700
1225,vienna bread toasted,150
1226,vienna bread,150
1227,protein bread,350
1228,banana bread,180
1229,rice bran bread,180
1230,white fibre wonder bread,180
1231,focaccia,150
1232,oat bran bread toasted,180
1233,rye bread,150
1234,wheat germ bread,180
1235,protein bread toasted,350
1236,oatmeal bread,150
1237,arepa,300
1238,raisin bread toasted,180
1239,cracked wheat bread,150
1240,garlic bread,180
1241,rye bread toasted,150
1242,whole wheat bread,150
1243,whole wheat bread toasted,150
1244,pan dulce bread,180
1245,rice bran bread toasted,180
1246,pita bread whole wheat,150
1247,wheat germ bread toasted,180
1248,pumpernickel bread,150
1249,frybread,180
1250,white bread toasted,150
1251,piki bread,180
1252,wheat bread toasted,150
1253,pita bread,150
1254,potato bread,180
1255,egg bread,180
1256,oatmeal bread toasted,150
1257,cheese bread,1000
1258,pumpernickel bread toasted,150
1259,raisin bread,180
1260,pumpernickel roll,150
1261,cinnamon raisin bagel,200
1262,english muffin,280
1263,rye dinner roll,300
1264,english muffin whole wheat,280
1265,dinner roll whole wheat,300
1266,dinner roll,300
1267,hotdog roll,900
1268,bagel,200
1269,oat bran bagel,200
1270,pain au chocolat de la boulangerie,350
1271,egg bagel,200
1272,english muffin toasted,280
1273,english muffin whole wheat toasted,280
1274,biscuit,220
1275,french roll,300
1276,oat bran dinner roll,200
1277,pecan shortbread cookies,180
1278,oatmeal cookies,550
1279,chocolate wafers,90
1280,vanilla wafers low fat,380
1281,chocolate chip cookies mcdonalds,400
1282,gingersnap cookies,2000
1283,biscotti abbracci mulino bianco,550
1284,chocolate chip cookie,90
1285,brownie,550
1286,shortbread cookies,180
1287,oatmeal cookies with raisins,400
1288,peanut butter sandwich cookies,700
1289,sugar cookies,140
1290,chocolate covered graham crackers,90
1291,raisin cookies,550
1292,vanilla wafers,380
1293,graham crackers,1000
1294,peanut butter cookies,700
1295,vanilla sandwich cookie,550
1296,sugar wafers with creme filling,140
1297,cheese puffs,1000
1298,saltine crackers,50
1299,trail mix,700
1300,corn cones,160
1301,chocolate pretzels,90
1302,french toast sticks,300
1303,crackers,380
1304,sesame sticks,300
1305,cheese crackers,1000
1306,oriental rice cracker mix,350
1307,breadsticks,180
1308,milk crackers,150
1309,matzo crackers whole wheat,380
1310,matzo crackers with egg,380
1311,granola bites,450
1312,crackers whole wheat,380
1313,tropical trail mix,700
1314,soft pretzels,400
1315,corn tostada shell,160
1316,matzo crackers,380
1317,sesame crunch,300
1318,trail mix with chocolate chips,90
1319,cracker meal,380
1320,puffed rice,200
1321,filinchen gutena,300
1322,melba toast crackers,380
1323,matzo crackers with egg onion,150
1324,cornnuts,160
1325,bagel chips,200
1326,pretzels,400
1327,potato raw,140
1328,gatto di patate home made,300
1329,baked potato,140
1330,potato sticks,500
1331,potato cooked,140
1332,vivaldi potatoes sainsburys,140
1333,potato ham chowder soup,140
1334,russet potato raw,140
1335,russet potato baked,140
1336,french fries,300
1337,potato scalloped,140
1338,cottage fries,300
1339,mashed potatoes,150
1340,mashed potato with milk and butter,700
1341,red potato raw,140
1342,potato pancake,250
1343,potato puffs,500
1344,red potato baked,140
1345,potatoes canned,120
1346,potato skin raw,140
1347,shoestring french fries,300
1348,hash brown potato,140
1349,baked chips lays,550
1350,corn chips,160
1351,nacho cheese tortilla chips low fat,750
1352,corn chips barbecue,160
1353,corn chips unsalted,160
1354,potato chips fat free,500
1355,sweet chilli kettle baked chips,550
1356,taro chips,600
1357,potato chips reduced fat,500
1358,onion snacks,150
1359,potato chips cheese,1000
1360,yuca cassava chips,550
1361,tortilla chips low fat,220
1362,ranch flavor tortilla chips,220
1363,potato chips,500
1364,tortilla chips,220
1365,sweet potato chips,500
1366,nacho cheese tortilla chips,1000
1367,vegetable chips,550
1368,taco flavor tortilla chips,220
1369,potato chips barbecue,500
1370,pita chips,600
1371,potato chips sour cream and onion,350
1372,adobo fresco,300
1373,chili pepper sauce red,600
1374,creamy ranch sauce mcdonalds,400
1375,catsup,200
1376,chili pepper sauce green,600
1377,red wine vinegar,150
1378,fish sauce,800
1379,coleslaw dressing reduced fat,350
1380,sour dressing,350
1381,guava sauce cooked,350
1382,pizza sauce,200
1383,sweetn sour sauce mcdonalds,400
1384,nance syrup,250
1385,french dressing reduced fat,350
1386,peppercorn dressing,350
1387,sorghum syrup,250
1388,ranch dressing fat free,350
1389,caesar dressing low calorie,350
1390,sweet sour dressing,350
1391,mayonnaise imitation fat free,350
1392,sofrito,300
1393,turkey gravy instant,150
1394,teriyaki sauce,400
1395,tomato sauce,200
1396,barbecue sauce kraft,300
1397,cranberry sauce sweetened,350
1398,coleslaw dressing,350
1399,onion gravy dry,150
1400,corn syrup light,250
1401,bacon tomato dressing,350
1402,pancake syrup,250
1403,balsamic vinegar,150
1404,ranch dressing reduced fat,350
1405,barbecue sauce mcdonalds,400
1406,vinegar oil dressing,500
1407,poppyseed dressing,350
1408,honey mustard dressing,350
1409,french dressing fat free,350
1410,vinegar,150
1411,spray dressing,350
1412,honey mustard dressing fat free,350
1413,mushroom gravy,150
1414,white sauce,300
1415,marinara pasta sauce,200
1416,tomato sauce with mushrooms,200
1417,pork gravy powder,150
1418,beef gravy,150
1419,green goddess dressing,350
1420,salsa con queso,200
1421,cocktail sauce,300
1422,worcestershire sauce,400
1423,barbecue sauce,300
1424,tomato sauce with onions,200
1425,brown gravy dry,150
1426,blue cheese dressing light,900
1427,spanish tomato sauce,200
1428,oyster sauce,400
1429,cheese sauce,1000
1430,hoisin sauce,400
1431,pickle relish,150
1432,tomato sauce with herbs cheese,1000
1433,french dressing,350
1434,mayonnaise hellmanns,350
1435,canadian maple syrup,1200
1436,maple syrup,1200
1437,barbecue sauce bulls eye,300
1438,ranch dressing,350
1439,tomato ketchup mp,200
1440,mayonnaise light,350
1441,mayonnaise dressing,350
1442,malt syrup,250
1443,gravy dry,150
1444,cranberry orange relish,200
1445,caesar dressing,350
1446,italian dressing,350
1447,brown gravy instant,150
1448,roquefort cheese dressing,1800
1449,blue cheese dressing,900
1450,duck sauce,1600
1451,au jus,300
1452,corn syrup dark,250
1453,buttermilk dressing light,700
1454,cider vinegar,150
1455,tartar sauce,500
1456,pepper hot sauce,600
1457,tomato chili sauce,180
1458,turkey gravy dry,150
1459,salsa sauce,200
1460,steak sauce,80
1461,molasses,250
1462,italian dressing fat free,350
1463,plum sauce,200
1464,chow mein stir fry master foods,350
1465,beef gravy instant,150
1466,horseradish,160
1467,grenadine,300
1468,tabasco sauce,600
1469,sweet sour sauce,300
1470,salsa verde,200
1471,miso,600
1472,sprouted soybean cooked,180
1473,soy flour roasted,150
1474,soy flour low fat,150
1475,green soybean cooked,180
1476,azumaya tofu vitasoy,350
1477,soy proteins isolate,300
1478,tofu yogurt,220
1479,bacon meatless,1000
1480,meatless chicken fried,900
1481,soymilk,180
1482,soy vermicelli,300
1483,tofu fried,350
1484,tempeh,350
1485,koyadofu,300
1486,meatless meatloaf,300
1487,soya vanille joghurt alpro,300
1488,soybean curd cheese,1000
1489,soy sauce,200
1490,soybean dry roasted,220
1491,soybean oil,500
1492,meatless chicken,900
1493,soybean cooked,180
1494,soymilk nonfat,180
1495,soy flour,150
1496,soybean lecithin oil,500
1497,tofu raw,350
1498,soy chips,550
1499,green soybean raw,220
1500,soy proteins concentrate,300
1501,soybean margarine,350
1502,chocolate soymilk nonfat,180
1503,okara,300
1504,meatless meatballs,300
1505,vanilla soymilk,180
1506,soy meal raw,300
1507,soymilk low fat,180
1508,sprouted soybean raw,220
1509,soybean raw,220
1510,tempeh cooked,350
1511,vanilla soymilk light,180
1512,chocolate soymilk,180
1513,soy oil,500
1514,natto,600
1515,chrysanthemum raw,300
1516,gourd cooked,130
1517,cauliflower raw,250
1518,red cabbage raw,300
1519,broccoli raab raw,250
1520,napa cabbage cooked,300
1521,kelp,800
1522,shallots raw,150
1523,bamboo shoots raw,300
1524,jute cooked,300
1525,red lettuce,200
1526,broccoli cooked,250
1527,romanesco raw,300
1528,eggplant raw,250
1529,leeks raw,150
1530,lemongrass citronella,200
1531,pumpkin cooked,130
1532,celery cooked,180
1533,serrano pepper,180
1534,nopales raw,300
1535,sweet potato leaves cooked,140
1536,eggplant cooked,180
1537,asparagus cooked,400
1538,rutabaga cooked,160
1539,parsnips raw,160
1540,sour pickles,150
1541,turnip greens cooked,160
1542,jerusalem artichokes,400
1543,collard raw,300
1544,chrysanthemum cooked,300
1545,oriental radish dried,160
1546,tomatillos,300
1547,taro shoots raw,300
1548,acorn squash raw,160
1549,leeks dried,400
1550,cabbage raw,300
1551,sweet red peppers cooked,180
1552,sweet red peppers raw,180
1553,cucumber peeled,180
1554,purslane raw,300
1555,peas onions cooked,150
1556,tomato cooked,180
1557,taro shoots cooked,300
1558,scots kale raw,200
1559,artichoke raw,400
1560,navy bean sprouts raw,200
1561,sweet pickles,150
1562,oriental radish cooked,160
1563,sweet potato leaves raw,140
1564,irishmoss,300
1565,drumstick leaves cooked,2000
1566,winter squash raw,130
1567,pumpkin raw,130
1568,chicory greens,300
1569,spinach cooked,200
1570,radish pickled,160
1571,sweet onion,150
1572,salsify cooked,300
1573,radish seeds sprouted,160
1574,turnips raw,160
1575,burdock root raw,300
1576,red cabbage cooked,300
1577,jute raw,300
1578,hot chile pepper dried,800
1579,salsify raw,300
1580,crookneck squash raw,130
1581,indian squash cooked,130
1582,poi,300
1583,sesbania flower cooked,300
1584,acorn squash cooked,160
1585,cauliflower cooked,250
1586,crookneck squash cooked,130
1587,laver seaweed,800
1588,mountain yam cooked,140
1589,pumpkin flowers raw,130
1590,mustard greens raw,250
1591,arrowhead,300
1592,japanese cabbage,300
1593,mung bean sprouts cooked,120
1594,scallop squash cooked,130
1595,pumpkin leaves cooked,130
1596,hungarian pepper,180
1597,sweet potato baked,140
1598,chinese cabbage pe tsai raw,300
1599,taro raw,300
1600,yam bean jicama,140
1601,olives,500
1602,mustard greens cooked,250
1603,pumpkin flowers cooked,130
1604,tree fern cooked,300
1605,yellow corn raw,160
1606,endive,200
1607,wakame,800
1608,tahitian taro raw,300
1609,broccoli raw,250
1610,sweet green peppers raw,180
1611,chinese cabbage pak choi cooked,300
1612,agar,800
1613,watercress,50
1614,beet greens cooked,160
1615,winter squash cooked,130
1616,new zealand spinach raw,200
1617,okra,300
1618,yautia tannier,300
1619,mustard spinach cooked,250
1620,rhubarb cooked,300
1621,beets raw,160
1622,drumstick pods raw,2000
1623,baby zucchini,180
1624,onion raw,150
1625,romanesco cooked,300
1626,butternut squash raw,700
1627,amaranth leaves,300
1628,turnip greens raw,160
1629,spaghetti squash raw,200
1630,seaweed dry,800
1631,yam cooked,140
1632,corn dried,250
1633,cucumber,180
1634,arrowroot,150
1635,cardoon raw,300
1636,bamboo shoots cooked,300
1637,summer squash raw,130
1638,sweet potato raw,140
1639,green tomato,180
1640,beet greens raw,160
1641,savoy cabbage cooked,300
1642,witloof chicory,300
1643,turnips cooked,160
1644,dried tomatoes,800
1645,radicchio,300
1646,mixed vegetables cooked,300
1647,yellow tomato,180
1648,cardoon cooked,300
1649,spinach raw,200
1650,kale raw,200
1651,drumstick pods cooked,2000
1652,kohlrabi raw,300
1653,lentil sprouts,200
1654,carrots raw,160
1655,red chili peppers,180
1656,fennel,300
1657,sweet corn white,160
1658,celeriac raw,300
1659,hubbard squash raw,130
1660,brussels sprouts cooked,250
1661,carrots cooked,160
1662,lambs quarters raw,1600
1663,lotus root cooked,300
1664,split peas raw,160
1665,scots kale cooked,200
1666,corn cooked,160
1667,radish raw,160
1668,stinging nettles,2000
1669,baby carrots,160
1670,sweet yellow peppers,180
1671,taro leaves raw,300
1672,corn raw,160
1673,roselle,300
1674,drumstick leaves raw,2000
1675,scallop squash raw,130
1676,chicory roots,300
1677,brussels sprouts raw,250
1678,kale cooked,200
1679,pupusas con frijoles,300
1680,mustard cabbage,250
1681,gourd raw,130
1682,butternut squash cooked,700
1683,burdock root cooked,300
1684,cassava,300
1685,peas carrots cooked,160
1686,romaine lettuce,200
1687,yam raw,140
1688,chowchow pickles,150
1689,prairie turnips raw,160
1690,savoy cabbage raw,300
1691,celery raw,180
1692,celeriac cooked,300
1693,mustard spinach raw,250
1694,zucchini raw,180
1695,okra cooked,300
1696,white icicle radish,160
1697,orange tomato,180
1698,pumpkin leaves raw,130
1699,spaghetti squash cooked,120
1700,white corn cooked,160
1701,artichoke cooked,400
1702,avocado,400
1703,string beans wellsley farms,190
1704,lambs quarters cooked,1600
1705,peas cooked,160
1706,beets cooked,160
1707,shallots dried,400
1708,green lettuce,200
1709,kohlrabi cooked,300
1710,kanpyo dried,300
1711,prairie turnips boiled,500
1712,broccoli raab cooked,250
1713,summer squash cooked,130
1714,taro cooked,300
1715,spring onion scallions,150
1716,hubbard squash cooked,130
1717,jalapeno pepper,180
1718,new zealand spinach cooked,200
1719,sesbania flower raw,300
1720,spirulina dried,800
1721,chinese cabbage pe tsai cooked,300
1722,zucchini cooked,180
1723,green olives pickled,500
1724,lotus root raw,300
1725,grape leaves,200
1726,dill pickled cucumber,180
1727,skunk cabbage,300
1728,banana pepper,180
1729,oriental radish raw,160
1730,purslane cooked,300
1731,rhubarb raw,300
1732,swamp cabbage,300
1733,mung bean sprouts raw,190
1734,onion cooked,150
1735,swiss chard raw,300
1736,peas raw,160
1737,cabbage cooked,300
1738,taro leaves cooked,300
1739,leeks cooked,150
1740,split peas cooked,160
1741,sweet corn yellow,160
1742,asparagus raw,400
1743,collard cooked,300
1744,swiss chard cooked,300
1745,nopales cooked,300
1746,tahitian taro cooked,300
1747,chinese cabbage pak choi raw,300
1748,green chili pepper,180
1749,mountain yam raw,140
1750,parsnips cooked,160
1751,tomato stewed,180
1752,sweet green peppers cooked,180
1753,white corn raw,160
1754,rutabaga raw,160
1755,jalapeno peppers canned,120
1756,pumpkin canned,110
1757,peas onions canned,150
1758,sweet mashed potato canned,150
1759,hominy canned,300
1760,tomato puree canned,120
1761,dried tomatoes canned in oil,500
1762,mixed vegetables canned,130
1763,straw mushrooms canned,300
1764,capers canned,300
1765,red peppers canned,120
1766,carrots canned,120
1767,tomatoes in tomato juice canned,130
1768,asparagus canned,400
1769,sweet red peppers canned,120
1770,onions canned,150
1771,turnip greens canned,120
1772,hearts of palm,500
1773,spinach canned,200
1774,sweet potato canned,120
1775,corn canned,110
1776,peas carrots canned,120
1777,crookneck squash canned,110
1778,tomatoes canned,120
1779,pimento canned,300
1780,sweet green peppers canned,120
1781,peas canned,110
1782,chili peppers canned,120
1783,green peppers canned,120
1784,grape leaves canned,170
1785,sauerkraut canned,150
1786,beets canned,120
1787,stewed tomatoes canned,120
1788,tomato paste canned,120
1789,bacon ranch salad mcdonalds,250
1790,caesar salad with grilled chicken mcdonalds,250
1791,caesar salad mcdonalds,250
1792,vegetable salad,200
1793,vegetable salad with chicken,200
1794,potato salad,140
1795,taco salad taco bell,250
1796,iceberg lettuce,200
1797,cornsalad,160
1798,potato salad with egg,140
1799,side salad mcdonalds,250
1800,caesar salad with crispy chicken mcdonalds,250
1801,grape apple salad with walnuts,200
1802,vegetable salad with cheese egg,1000
1803,celtuce,300
1804,arugula,200
1805,vegetable salad with shrimp,200
1806,coleslaw,300
1807,shiitake mushrooms cooked,1200
1808,shiitake mushrooms raw,1200
1809,crimini mushrooms,300
1810,mushrooms raw,300
1811,portabella mushrooms grilled,300
1812,maitake mushrooms,300
1813,shiitake mushrooms dried,1200
1814,chanterelle mushrooms,300
1815,cloud ear fungus dried,300
1816,mushrooms cooked,300
1817,pepeao dried,300
1818,truffles,15000
1819,jews ear,300
1820,enoki mushrooms,300
1821,morel mushrooms,300
1822,portabella mushrooms raw,300
1823,oyster mushroom,300
1824,nectarine,130
1825,kiwifruit gold,350
1826,prickly pear raw,200
1827,pineapple,200
1828,rowan,300
1829,muscadine grapes,200
1830,heidelbeeren jutro,130
1831,prunes stewed,400
1832,tangerine,300
1833,prunes,400
1834,lemon peel,200
1835,banana,200
1836,raspberries,300
1837,apricot,200
1838,strawberry guava,200
1839,kiwifruit green,350
1840,figs,350
1841,clementine,300
1842,orange,200
1843,bartlett pear,200
1844,red white currants,400
1845,blueberries,300
1846,mulberries,300
1847,java plum,200
1848,prune puree,300
1849,applesauce,200
1850,blackberries raw,300
1851,plum,200
1852,american grapes,200
1853,peach,200
1854,honeydew melon,700
1855,yellow plantain fried,300
1856,rose hips,300
1857,lemons,200
1858,lime,200
1859,pomegranate,350
1860,gooseberries,1600
1861,asian pear,200
1862,abiyuch,300
1863,horned melon kiwano,200
1864,fruit walnut salad mcdonalds,250
1865,grapefruit,200
1866,japanese persimmon,300
1867,wild raspberries,300
1868,pink lady apple,200
1869,maraschino cherries,300
1870,black currants,400
1871,plantain cooked,300
1872,crab apple,200
1873,pom potes materne,300
1874,apple,200
1875,cantaloupe melon,200
1876,prickly pear cooked,200
1877,guava,350
1878,strawberries,300
1879,japanese persimmon dried,300
1880,watermelon,50
1881,elderberries,300
1882,kumquat,300
1883,orange peel,200
1884,pokeberry shoots cooked,300
1885,breadfruit,180
1886,pear,200
1887,sour cherries,300
1888,plantain raw,300
1889,blackberries frozen,300
1890,cherries,300
1891,plantain fried,300
1892,carambola starfruit,300
1893,chayote cooked,300
1894,apple dippers mcdonalds,400
1895,white grapefruit,200
1896,cherimoya,300
1897,melon balls,200
1898,golden delicious apple,200
1899,pokeberry shoots raw,300
1900,cranberries,300
1901,quince,300
1902,chayote raw,300
1903,orange with peel,200
1904,chokecherries,300
1905,mango,350
1906,wild plum,200
1907,jeijoa,300
1908,groundcherries,300
1909,pesca,300
1910,persimmon,300
1911,grapes,200
1912,rambutan canned,600
1913,figs canned,220
1914,prunes canned,400
1915,pineapples canned,170
1916,prune plums canned,170
1917,tangerines canned,300
1918,fruit cocktail canned,180
1919,sour cherries canned,300
1920,mangosteen canned,220
1921,apricot juice,130
1922,strawberries canned,300
1923,peach canned,170
1924,fruit salad canned,200
1925,gooseberries canned,1600
1926,grapefruit canned,170
1927,pear canned,170
1928,raspberries canned,300
1929,papaya canned,220
1930,grapes canned,170
1931,apple dried,500
1932,peach dried,500
1933,plantain chips,550
1934,golden raisins,400
1935,raisins seeded,400
1936,zante currants dried,400
1937,pear dried,500
1938,raisins,400
1939,prune plums dried,500
1940,cranberries dried,300
1941,figs dried,700
1942,longans dried,600
1943,banana chips,200
1944,lychee dried,600
1945,apricot dried,500
1946,longan,600
1947,mamey sapote,300
1948,waxgourd cooked,130
1949,jackfruit,600
1950,loquats,300
1951,mammy apple mamey,200
1952,nance,300
1953,coconut whole coconut,600
1954,prickly pear,200
1955,lychee,600
1956,naranjilla lulo pulp,300
1957,coconut meat dried,600
1958,waxgourd raw,130
1959,surinam cherry pitanga,200
1960,passion fruit,350
1961,sapodilla,300
1962,pummelo,300
1963,coconut meat,600
1964,soursop,600
1965,papaya,350
1966,acerola cherry,200
1967,ohelo berries,300
1968,loganberries,300
1969,casaba melon,200
1970,durian,600
1971,coriander leaves raw,500
1972,garden cress raw,300
1973,pasilla peppers dried,800
1974,parsley dried,400
1975,ancho pepper dried,800
1976,coriander seeds,600
1977,dill weed dried,400
1978,borage,300
1979,epazote,300
1980,chives dried,400
1981,thyme fresh,400
1982,butterbur,700
1983,wasabi root,350
1984,rosemary dried,400
1985,ginger root,2000
1986,white pepper,500
1987,cloves ground,500
1988,paprika,500
1989,mace ground,500
1990,bay leaf,400
1991,eppaw,300
1992,tarragon dried,400
1993,ginger ground,2000
1994,savory ground,300
1995,black pepper,600
1996,spearmint fresh,200
1997,poultry seasoning,400
1998,nutmeg ground,600
1999,curry powder,500
2000,peppermint,180
2001,salt,50
2002,coriander leaves dried,500
2003,sage ground,400
2004,garlic powder,400
2005,dill weed fresh,400
2006,cardamom,500
2007,saffron,18000
2008,allspice ground,500
2009,parsley fresh,400
2010,oregano dried,400
2011,marjoram dried,400
2012,chives raw,400
2013,fireweed leaves,300
2014,rosemary fresh,400
2015,garlic,150
2016,cinnamon ground,500
2017,chervil dried,300
2018,cayenne pepper,180
2019,turmeric ground,500
2020,mustard,250
2021,chili powder,500
2022,thyme dried,400
2023,spearmint dried,500
2024,basil dried,400
2025,dandelion greens cooked,300
2026,basil fresh,400
2027,dock,300
2028,garden cress cooked,300
2029,onion powder,400
2030,dandelion greens raw,300
2031,yokan,300
2032,fava beans cooked,110
2033,french beans raw,190
2034,chickpeas canned,110
2035,yellow beans cooked,120
2036,mung beans cooked,120
2037,white beans canned,130
2038,pink beans cooked,120
2039,pink beans raw,190
2040,navy beans raw,200
2041,snap beans cooked,160
2042,black eyed cowpeas raw,160
2043,edamame cooked,1400
2044,black eyed cowpeas cooked,160
2045,hyacinth beans cooked,120
2046,cowpeas canned,110
2047,pinto beans cooked,110
2048,winged beans cooked,120
2049,pinto beans raw,200
2050,black turtle beans raw,190
2051,fava beans raw,200
2052,lima beans canned,130
2053,hyacinth beans raw,190
2054,white beans raw,190
2055,snap beans canned,110
2056,navy beans canned,130
2057,mung beans raw,190
2058,adzuki beans raw,190
2059,black turtle beans cooked,120
2060,pink lentils raw,200
2061,yellow beans raw,190
2062,white beans cooked,120
2063,lentils raw,200
2064,cranberry beans cooked,350
2065,chickpeas raw,160
2066,lentils cooked,110
2067,baked beans canned,130
2068,cranberry beans canned,220
2069,black beans cooked,110
2070,lima beans cooked,110
2071,mungo beans raw,190
2072,pigeon peas raw,160
2073,fava beans canned,130
2074,yellow snap beans raw,160
2075,snap beans raw,160
2076,yellow snap beans canned,110
2077,pigeon peas cooked,160
2078,catjang cowpeas raw,160
2079,navy beans cooked,110
2080,mothbeans raw,190
2081,cowpeas cooked,160
2082,mothbeans cooked,120
2083,french beans cooked,120
2084,lima beans raw,200
2085,winged beans raw,190
2086,adzuki beans cooked,120
2087,black beans raw,200
2088,catjang cowpeas cooked,160
2089,baby lima beans cooked,110
2090,cowpeas raw,160
2091,shellie beans canned,130
2092,yardlong beans raw,190
2093,pinto beans canned,130
2094,chickpeas cooked,160
2095,cranberry beans raw,350
2096,mungo beans cooked,120
2097,tamarinds,300
2098,yellow snap beans cooked,160
2099,yardlong beans cooked,120
2100,bacon beef steak,80
2101,lamb foreshank raw,1600
2102,bacon,1000
2103,lamb rib cooked,1600
2104,lamb shank raw,1600
2105,scrapple,200
2106,chicken nuggets,900
2107,ground lamb cooked,1600
2108,lamb meat cooked,1600
2109,meat extender,300
2110,lamb leg raw,1600
2111,lamb loin cooked,1600
2112,chicken patty,900
2113,lamb shank roasted,1600
2114,barbecue loaf,300
2115,lamb sirloin cooked,1800
2116,poultry salad,200
2117,ground lamb raw,1600
2118,lamb loin raw,1600
2119,lamb sirloin raw,1800
2120,sausage patty mcdonalds,400
2121,lamb foreshank cooked,1600
2122,ham salad,200
2123,lamb rib raw,1600
2124,lamb shoulder raw,1600
2125,lamb meat raw,1600
2126,lamb shoulder cooked,1600
2127,mutton cooked,1600
2128,lamb leg cooked,1600
2129,beef stick,1800
2130,veal sirloin cooked,1800
2131,veal rib cooked,1800
2132,veal meat cooked,1800
2133,beef rib roasted,1400
2134,veal sirloin raw,1800
2135,beef top loin filet grilled,1400
2136,beef under blade steak cooked,80
2137,mock tender steak raw,80
2138,ground beef cooked,1200
2139,ground beef raw,1200
2140,beef diced asda,1400
2141,veal rib raw,1800
2142,ground veal raw,1800
2143,t bone steak cooked,80
2144,veal leg round raw,1800
2145,beef top sirloin steak raw,80
2146,beef plate steak grilled,80
2147,ground veal cooked,1800
2148,veal leg round cooked,1800
2149,porterhouse steak raw,80
2150,veal shank raw,1800
2151,veal breast cooked,1800
2152,corned beef canned,110
2153,rib eye steak grilled,80
2154,veal shoulder raw,1800
2155,t bone steak raw,80
2156,sirloin steak,80
2157,mock tender steak cooked,80
2158,beef round steak cooked,80
2159,chuck blade roast raw,300
2160,beef shoulder steak raw,80
2161,beef top blade cooked,1400
2162,corned beef cooked,160
2163,beef round steak raw,80
2164,beef shoulder steak grilled,80
2165,chuck eye steak raw,80
2166,beef bottom round steak cooked,80
2167,porterhouse steak cooked,80
2168,beef under blade steak raw,80
2169,beef plate steak raw,80
2170,beef meat canned,1400
2171,beef breakfast strips raw,1400
2172,beef brisket cooked,1400
2173,corned beef raw,160
2174,beef mince meat asda,1200
2175,pastrami beef fat free,1400
2176,rib eye steak raw,80
2177,beef tenderloin steak cooked,80
2178,chuck blade roast cooked,300
2179,cured beef dried,1400
2180,beef flank steak cooked,80
2181,chuck eye steak grilled,80
2182,veal meat raw,1800
2183,veal loin cooked,1800
2184,veal loin raw,1800
